ageband,imc,height,weight,hasSportHistoric,hasWalkingHistoric,gender,avgalt,dist,altDiff,currSpd,avgSpd,accumSub,accumDesc,totDist,modal,load,diffic
1,21.798202394816204,183,73,1,1,0,286,6.6859818,1.7999999999999545,0.82046723,0.30232558,163,33,203,0,1,1
1,21.798202394816204,183,73,1,1,0,287.54999999999995,6.4180856,1.3000000000000114,1.0212089,0.3181818,169,33,209,0,1,1
1,21.798202394816204,183,73,1,1,0,288.6,7.1134963,0.8000000000000114,1.0294445,0.33333334,176,33,216,0,1,1
1,21.798202394816204,183,73,1,1,0,289.6,6.570201,1.1999999999999886,1.1293006,0.3478261,182,33,222,0,1,1
1,21.798202394816204,183,73,1,1,0,290.25,5.6812677,0.10000000000002274,0.9578981,0.34042552,187,33,227,0,1,1
1,21.798202394816204,183,73,1,1,0,290.55,5.713944,0.5,1.1416539,0.35416666,192,33,232,0,1,1
1,21.798202394816204,183,73,1,1,0,291.3,5.8179364,1,0.76950973,0.3469388,197,33,237,0,1,1
1,21.798202394816204,183,73,1,1,0,291.6,4.2800074,-0.4000000000000341,0.7381117,0.34,197,37,241,0,1,1
1,21.798202394816204,183,73,1,1,0,292.45,5.932051,2.1000000000000227,0.93164724,0.33333334,202,37,246,0,1,1
1,21.798202394816204,183,73,1,1,0,293.25,5.585722,-0.5,0.99753165,0.32692307,202,42,251,0,1,1
1,21.798202394816204,183,73,1,1,0,292.65,4.6747656,-0.6999999999999886,0.79473114,0.3207547,202,46,255,0,1,1
1,21.798202394816204,183,73,1,1,0,292.20000000000005,6.9264865,-0.19999999999998863,1.041283,0.33333334,202,52,261,0,1,1
1,21.798202394816204,183,73,1,1,0,294.25,6.5371156,4.2999999999999545,1.1159178,0.34545454,208,52,267,0,1,1
1,21.798202394816204,183,73,1,1,0,297.29999999999995,6.8443785,1.8000000000000114,1.0454009,0.35714287,214,52,273,0,1,1
1,21.798202394816204,183,73,1,1,0,298.65,5.630593,0.9000000000000341,0.9167203,0.3508772,219,52,278,0,1,1
1,21.798202394816204,183,73,1,1,0,300,7.30206,1.7999999999999545,0.9553245,0.3448276,226,52,285,0,1,1
1,21.798202394816204,183,73,1,1,0,302.15,7.098645,2.5,1.0021641,0.3559322,233,52,292,0,1,1
1,21.798202394816204,183,73,1,1,0,303.45,5.5857263,0.10000000000002274,0.9805458,0.35,238,52,297,0,1,1
1,21.798202394816204,183,73,1,1,0,304,5.398566,1,1.0294445,0.36065573,243,52,302,0,1,1
1,21.798202394816204,183,73,1,1,0,304.7,5.687885,0.39999999999997726,1.0340769,0.37096775,248,52,307,0,1,1
1,21.798202394816204,183,73,1,1,0,305.29999999999995,5.476115,0.8000000000000114,1.0145175,0.3809524,253,52,312,0,1,1
